actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source,v024_errors,v024_order_memory_hits,v024_order_memory_reorders,v024_sell_clipped,v024_strict_r3_hits,v024_strict_r3_repayments,v024_strict_r3_units,v024_terminal_liquidations,v024_weed_abandoned,v024_weed_catchup_actions,v024_weed_repairs,v024_weed_retries
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,85465.0,DONE,1,-28753.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.228083,v022c,114218.0,DONE,0.054083,0.082916,0.138084,loss,0,317,local,0,0,0,59,0,0,0,1,0,0,0,0
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 901, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 737, 'COLLECT_FERTILIZER': 314, 'SOUTH': 636, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,85467.0,DONE,1,-28888.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 208, 'SELL_WHEAT': 804, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 151, 'SELL_MELON': 72, 'SELL_STRAWBERRY': 242}",0.223417,v022c,114355.0,DONE,0.049583,0.065,0.076417,loss,1,317,local,0,0,0,59,0,0,0,1,0,0,0,0
"{'PASS': 795, 'PICKUP': 165, 'WEST': 975, 'NORTH': 899, 'BUILD_PASTURE': 14, 'PLACE': 13, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 312, 'SOUTH': 635, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,94347.0,DONE,1,-37592.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 309, 'SELL_FERTILIZER': 190, 'SELL_WHEAT': 819, 'SELL_WOOL': 162, 'BUY_LAND': 2, 'SELL_MILK': 135, 'SELL_MELON': 60, 'SELL_STRAWBERRY': 211}",0.216208,v022c,131939.0,DONE,0.054875,0.082958,0.096042,loss,0,733,local,0,0,0,68,0,0,0,1,0,0,0,0
"{'PASS': 795, 'PICKUP': 165, 'WEST': 975, 'NORTH': 899, 'BUILD_PASTURE': 14, 'PLACE': 13, 'PLANT': 158, 'WATER': 920, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 312, 'SOUTH': 635, 'DROP': 104, 'HARVEST': 370, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024a_route14_control,94458.0,DONE,1,-37832.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 308, 'SELL_FERTILIZER': 191, 'SELL_WHEAT': 819, 'SELL_WOOL': 162, 'BUY_LAND': 2, 'SELL_MILK': 135, 'SELL_MELON': 62, 'SELL_STRAWBERRY': 204}",0.138125,v022c,132290.0,DONE,0.049209,0.065458,0.080583,loss,1,733,local,0,0,0,69,0,0,0,1,0,0,0,0
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024b_route14_weed,101669.0,DONE,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.387292,v022c,107634.0,DONE,0.081292,0.110709,0.170167,loss,0,17,local,0,0,0,29,0,0,0,1,0,0,0,0
"{'PASS': 812, 'PICKUP': 167, 'WEST': 978, 'NORTH': 904, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 922, 'FEED': 314, 'CARE': 322, 'EAST': 740, 'COLLECT_FERTILIZER': 314, 'SOUTH': 638, 'DROP': 106, 'HARVEST': 374, 'FERTILIZE': 80, 'DIG': 43}",0,719,v024b_route14_weed,101669.0,DONE,1,-5965.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 340, 'SELL_FERTILIZER': 222, 'SELL_WHEAT': 813, 'SELL_WOOL': 153, 'BUY_LAND': 2, 'SELL_MILK': 220, 'SELL_MELON': 114, 'SELL_STRAWBERRY': 284}",0.379625,v022c,107634.0,DONE,0.074667,0.099125,0.126041,loss,1,17,local,0,0,0,29,0,0,0,1,0,0,0,0
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 900, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 157, 'WATER': 919, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 314, 'SOUTH': 634, 'DROP': 103, 'HARVEST': 370, 'DIG': 50, 'FERTILIZE': 80}",0,719,v024b_route14_weed,70696.0,DONE,1,-26846.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 316, 'SELL_FERTILIZER': 205, 'SELL_WHEAT': 837, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 152, 'SELL_MELON': 61, 'SELL_STRAWBERRY': 219}",0.360083,v022c,97542.0,DONE,0.080791,0.112625,0.219709,loss,0,42,local,0,0,0,60,0,0,0,1,4,31,7,7
"{'PASS': 809, 'PICKUP': 166, 'WEST': 975, 'NORTH': 900, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 157, 'WATER': 919, 'FEED': 314, 'CARE': 322, 'EAST': 736, 'COLLECT_FERTILIZER': 314, 'SOUTH': 634, 'DROP': 103, 'HARVEST': 370, 'DIG': 50, 'FERTILIZE': 80}",0,719,v024b_route14_weed,69730.0,DONE,1,-36129.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 316, 'SELL_FERTILIZER': 205, 'SELL_WHEAT': 837, 'SELL_WOOL': 158, 'BUY_LAND': 2, 'SELL_MILK': 152, 'SELL_MELON': 61, 'SELL_STRAWBERRY': 219}",0.246958,v022c,105859.0,DONE,0.0735,0.098334,0.110417,loss,1,42,local,0,0,0,60,0,0,0,1,4,31,7,7
"{'PASS': 807, 'PICKUP': 165, 'WEST': 972, 'NORTH': 895, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 915, 'FEED': 314, 'CARE': 322, 'EAST': 734, 'COLLECT_FERTILIZER': 312, 'SOUTH': 631, 'DROP': 102, 'HARVEST': 368, 'DIG': 51, 'FERTILIZE': 80}",0,719,v024b_route14_weed,98175.0,DONE,1,-28736.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 202, 'SELL_WHEAT': 839, 'SELL_WOOL': 159, 'BUY_LAND': 2, 'SELL_MILK': 155, 'SELL_MELON': 74, 'SELL_STRAWBERRY': 213}",0.352417,v022c,126911.0,DONE,0.080708,0.108667,0.230041,loss,0,2026,local,0,0,0,60,0,0,0,1,4,36,8,8
"{'PASS': 807, 'PICKUP': 165, 'WEST': 971, 'NORTH': 896, 'BUILD_PASTURE': 14, 'PLACE': 14, 'PLANT': 158, 'WATER': 915, 'FEED': 314, 'CARE': 322, 'EAST': 734, 'COLLECT_FERTILIZER': 312, 'SOUTH': 631, 'DROP': 102, 'HARVEST': 368, 'DIG': 51, 'FERTILIZE': 80}",0,719,v024b_route14_weed,95859.0,DONE,1,-26151.0,"{'HIRE': 277, 'BUY_ANIMAL': 8, 'BUY_SEED': 18, 'BUY_PRODUCT': 248, 'SELL': 317, 'SELL_FERTILIZER': 202, 'SELL_WHEAT': 839, 'SELL_WOOL': 159, 'BUY_LAND': 2, 'SELL_MILK': 155, 'SELL_MELON': 74, 'SELL_STRAWBERRY': 213}",0.342125,v022c,122010.0,DONE,0.073583,0.098584,0.110042,loss,1,2026,local,0,0,0,60,0,0,0,1,3,30,8,8
