seed,seat,candidate_money,opponent_money,margin,result,candidate_status,opponent_status,game_done,action_calls,hand_shape_mismatches,runtime_p50_ms,runtime_p95_ms,runtime_p99_ms,runtime_max_ms,wall_seconds,candidate,opponent,route_file
317,1,130601.0,136067.0,-5466.0,loss,DONE,DONE,1,719,21,0.01475,0.021125,0.031542,0.362166,3.052117624996754,navazsh_fathi,v18,89830910
733,0,124332.0,130917.0,-6585.0,loss,DONE,DONE,1,719,21,0.014875,0.022917,0.052916,0.177667,2.875364958003047,navazsh_fathi,v18,89830910
733,1,124224.0,130175.0,-5951.0,loss,DONE,DONE,1,719,21,0.01475,0.021167,0.031666,0.256208,3.1791367919940967,navazsh_fathi,v18,89830910
17,0,141324.0,151403.0,-10079.0,loss,DONE,DONE,1,719,21,0.014709,0.026959,0.058083,0.655792,3.086371875004261,lucien_de_rubempre,v18,89822684
17,1,148743.0,144433.0,4310.0,win,DONE,DONE,1,719,21,0.014708,0.020542,0.030292,0.115292,3.0315867500030436,lucien_de_rubempre,v18,89822684
42,0,129169.0,133942.0,-4773.0,loss,DONE,DONE,1,719,21,0.014833,0.023709,0.052,0.214875,3.0394510420010192,lucien_de_rubempre,v18,89822684
42,1,129113.0,133949.0,-4836.0,loss,DONE,DONE,1,719,21,0.014584,0.019916,0.030125,0.467375,2.8602362500023446,lucien_de_rubempre,v18,89822684
2026,0,106092.0,112526.0,-6434.0,loss,DONE,DONE,1,719,21,0.014708,0.022708,0.050167,0.104625,3.1561033750040224,lucien_de_rubempre,v18,89822684
2026,1,104254.0,114707.0,-10453.0,loss,DONE,DONE,1,719,21,0.014417,0.019333,0.02475,0.06,2.844101499998942,lucien_de_rubempre,v18,89822684
217,0,100273.0,105728.0,-5455.0,loss,DONE,DONE,1,719,21,0.015,0.02625,0.052125,0.279666,3.1753929999977117,lucien_de_rubempre,v18,89822684
217,1,100107.0,105815.0,-5708.0,loss,DONE,DONE,1,719,21,0.0145,0.019417,0.02975,0.381125,2.8573275419985293,lucien_de_rubempre,v18,89822684
317,0,129087.0,135402.0,-6315.0,loss,DONE,DONE,1,719,21,0.015083,0.022208,0.048542,0.208917,3.1934648749956978,lucien_de_rubempre,v18,89822684
317,1,129227.0,135262.0,-6035.0,loss,DONE,DONE,1,719,21,0.014375,0.019,0.026708,0.098042,3.0090695830003824,lucien_de_rubempre,v18,89822684
733,0,123031.0,130206.0,-7175.0,loss,DONE,DONE,1,719,21,0.015125,0.024291,0.057125,0.237542,3.0708597080010804,lucien_de_rubempre,v18,89822684
733,1,122980.0,130257.0,-7277.0,loss,DONE,DONE,1,719,21,0.014458,0.0195,0.025042,0.304208,2.856538207997801,lucien_de_rubempre,v18,89822684
