left,right,seed,left_seat,left_money,right_money,margin,result,done,left_status,right_status,left_calls,right_calls,errors,invalid,p50_ms,p95_ms,p99_ms,max_ms
V27,V022c,42,0,37472.0,173441.0,-135969.0,L,1,DONE,DONE,719,719,0,0,0.010249990737065673,0.015339303354267026,0.04604342044331129,0.33708297996781766
V27,V022c,42,1,13886.0,171277.0,-157391.0,L,1,DONE,DONE,719,719,0,0,0.010207993909716606,0.014833000022917986,0.053635920048691325,25.788707978790626
V27,V022c,2026,0,40543.0,181642.0,-141099.0,L,1,DONE,DONE,719,719,0,0,0.010042014764621854,0.015131298277992748,0.04720863711554557,0.23883400717750192
V27,V022c,2026,1,40578.0,182538.0,-141960.0,L,1,DONE,DONE,719,719,0,0,0.010291492799296975,0.015875004464760423,0.04688102082582188,0.3825839958153665
V27,V13_R3,17,0,39369.0,165031.0,-125662.0,L,1,DONE,DONE,719,719,0,0,0.01020848867483437,0.014798143820371472,0.04698481759987771,30.48700001090765
V27,V13_R3,17,1,39369.0,165031.0,-125662.0,L,1,DONE,DONE,719,719,0,0,0.010332994861528277,0.015464304306078697,0.04878249310422686,0.35316598950885236
V27,V13_R3,42,0,41476.0,186049.0,-144573.0,L,1,DONE,DONE,719,719,0,0,0.010458985343575478,0.015749974409118295,0.04837154643610114,0.390208006137982
V27,V13_R3,42,1,40018.0,181873.0,-141855.0,L,1,DONE,DONE,719,719,0,0,0.010207993909716606,0.0165481527801603,0.04856846411712467,0.47141697723418474
V27,V13_R3,2026,0,40104.0,173658.0,-133554.0,L,1,DONE,DONE,719,719,0,0,0.010417017620056868,0.017024914268404225,0.05288529093377291,0.3888330247718841
V27,V13_R3,2026,1,40108.0,172508.0,-132400.0,L,1,DONE,DONE,719,719,0,0,0.01058299676515162,0.01975264895008873,0.04714683716883881,0.34579201019369066
Stable12,V022c,17,0,185831.0,1410.0,184421.0,W,1,DONE,DONE,719,719,0,0,0.010707997716963291,0.039507959445472765,0.05807024863315742,44.837166991783306
Stable12,V022c,17,1,112062.0,97634.0,14428.0,W,1,DONE,DONE,719,719,0,0,0.010584015399217606,0.015416156384162605,0.04738950810860834,0.32308301888406277
Stable12,V022c,42,0,184035.0,6238.0,177797.0,W,1,DONE,DONE,719,719,0,0,0.01058299676515162,0.0166659927344881,0.051343906088732176,0.29562501003965735
Stable12,V022c,42,1,186470.0,6601.0,179869.0,W,1,DONE,DONE,719,719,0,0,0.010666000889614224,0.017100063269026487,0.052843917510472224,0.28416700661182404
Stable12,V022c,2026,0,192507.0,2345.0,190162.0,W,1,DONE,DONE,719,719,0,0,0.01045851968228817,0.01614373177289961,0.0480684419744648,0.19354201504029334
Stable12,V022c,2026,1,193238.0,2342.0,190896.0,W,1,DONE,DONE,719,719,0,0,0.010707997716963291,0.04356075805844738,0.053469288395717726,0.2288329997099936
Stable12,V13_R3,17,0,104829.0,117154.0,-12325.0,L,1,DONE,DONE,719,719,0,0,0.01087499549612403,0.01609545579412951,0.04928287729853748,0.377874996047467
Stable12,V13_R3,17,1,104829.0,117154.0,-12325.0,L,1,DONE,DONE,719,719,0,0,0.010832998668774962,0.01686421164777127,0.04990156419808031,0.2905410074163228
Stable12,V13_R3,42,0,86337.0,90150.0,-3813.0,L,1,DONE,DONE,719,719,0,0,0.0109999964479357,0.016631309699732803,0.04908362228889018,0.49395798123441637
Stable12,V13_R3,42,1,86299.0,90176.0,-3877.0,L,1,DONE,DONE,719,719,0,0,0.010749994544312358,0.01534560287836938,0.0480957175022922,0.28208299772813916
Stable12,V13_R3,2026,0,100629.0,109231.0,-8602.0,L,1,DONE,DONE,719,719,0,0,0.010791991371661425,0.015083001926541328,0.04938142024911924,0.5614169931504875
Stable12,V13_R3,2026,1,100289.0,109278.0,-8989.0,L,1,DONE,DONE,719,719,0,0,0.01058299676515162,0.014631298836320632,0.04640083847334608,0.2583330206107348
V022c,V13_R3,17,0,118214.0,140746.0,-22532.0,L,1,DONE,DONE,719,719,0,0,0.01066701952368021,0.016768761270213855,0.04757449118187648,0.2606250054668635
V022c,V13_R3,17,1,118214.0,140746.0,-22532.0,L,1,DONE,DONE,719,719,0,0,0.010249990737065673,0.01517947093816473,0.047083991521503776,53.196791996015236
V022c,V13_R3,42,0,65435.0,76803.0,-11368.0,L,1,DONE,DONE,719,719,0,0,0.010457995813339949,0.01496430049883201,0.04609750176314256,0.4231669881846756
V022c,V13_R3,42,1,66069.0,76879.0,-10810.0,L,1,DONE,DONE,719,719,0,0,0.01029099803417921,0.014809901767875982,0.047761669266037504,0.20237499848008156
V022c,V13_R3,2026,0,92966.0,102438.0,-9472.0,L,1,DONE,DONE,719,719,0,0,0.010416493751108646,0.015291155432350934,0.048654661222826606,0.1263330050278455
