actual_margin_delta,control_margin,done,due,event_index,item,mode,opponent,opponent_cash_delta,own_cash_delta,raw_gain,seat,seed,single_event_margin,source_hash,step,transfer
-58.0,13091.0,1,408,2,STRAWBERRY,delay,v14_public,51.0,-7.0,369.0,1,2026,13033.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
340.0,5215.0,1,240,0,WOOL,delay,v14_public,2062.0,2402.0,113.0,0,217,5555.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
34.0,5215.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,34.0,34.0,0,217,5249.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
40.0,5215.0,1,408,2,STRAWBERRY,delay,v14_public,0.0,40.0,378.0,0,217,5255.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
340.0,5215.0,1,240,0,WOOL,delay,v14_public,2062.0,2402.0,136.0,1,217,5555.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
34.0,5215.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,34.0,34.0,1,217,5249.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
40.0,5215.0,1,408,2,STRAWBERRY,delay,v14_public,0.0,40.0,392.0,1,217,5255.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-5036.0,10710.0,1,240,0,WOOL,delay,v14_public,-4073.0,-9109.0,105.0,0,317,5674.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
50.0,10710.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,50.0,36.0,0,317,10760.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
51.0,10710.0,1,408,2,STRAWBERRY,delay,v14_public,5.0,56.0,397.0,0,317,10761.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-5036.0,10710.0,1,240,0,WOOL,delay,v14_public,-4073.0,-9109.0,105.0,1,317,5674.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
50.0,10710.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,50.0,36.0,1,317,10760.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
51.0,10710.0,1,408,2,STRAWBERRY,delay,v14_public,5.0,56.0,397.0,1,317,10761.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-1922.0,7206.0,1,240,0,WOOL,delay,v14_public,240.0,-1682.0,113.0,0,733,5284.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
34.0,7206.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,34.0,34.0,0,733,7240.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
40.0,7206.0,1,408,2,STRAWBERRY,delay,v14_public,0.0,40.0,347.0,0,733,7246.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-1922.0,7206.0,1,240,0,WOOL,delay,v14_public,240.0,-1682.0,136.0,1,733,5284.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,168,8
34.0,7206.0,1,384,1,STRAWBERRY,delay,v14_public,0.0,34.0,34.0,1,733,7240.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,336,3
40.0,7206.0,1,408,2,STRAWBERRY,delay,v14_public,0.0,40.0,352.0,1,733,7246.0,a7f827b9438885b34b7fd5bf8165458a72f8bb83031a288dd4640f21ade3294b,384,9
-18816.0,8206.0,1,240,0,WOOL,delay,adaptive_replay,4357.0,-14459.0,315.0,0,17,-10610.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
41.0,8206.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,41.0,41.0,0,17,8247.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
31.0,8206.0,1,408,2,STRAWBERRY,delay,adaptive_replay,7.0,38.0,345.0,0,17,8237.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
-18816.0,8206.0,1,240,0,WOOL,delay,adaptive_replay,4357.0,-14459.0,315.0,1,17,-10610.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
41.0,8206.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,41.0,41.0,1,17,8247.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
31.0,8206.0,1,408,2,STRAWBERRY,delay,adaptive_replay,7.0,38.0,386.0,1,17,8237.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
106.0,16346.0,1,311,0,WOOL,delay,adaptive_replay,0.0,106.0,178.0,0,42,16452.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,240,8
37.0,16346.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,37.0,31.0,0,42,16383.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
-59.0,16346.0,1,408,2,STRAWBERRY,delay,adaptive_replay,50.0,-9.0,256.0,0,42,16287.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
106.0,16346.0,1,311,0,WOOL,delay,adaptive_replay,0.0,106.0,178.0,1,42,16452.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,240,8
37.0,16346.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,37.0,31.0,1,42,16383.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
-59.0,16346.0,1,408,2,STRAWBERRY,delay,adaptive_replay,50.0,-9.0,362.0,1,42,16287.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
106.0,13091.0,1,311,0,WOOL,delay,adaptive_replay,0.0,106.0,178.0,0,2026,13197.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,240,8
45.0,13091.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,45.0,45.0,0,2026,13136.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
-58.0,13091.0,1,408,2,STRAWBERRY,delay,adaptive_replay,51.0,-7.0,361.0,0,2026,13033.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
106.0,13091.0,1,311,0,WOOL,delay,adaptive_replay,0.0,106.0,178.0,1,2026,13197.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,240,8
45.0,13091.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,45.0,45.0,1,2026,13136.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
-58.0,13091.0,1,408,2,STRAWBERRY,delay,adaptive_replay,51.0,-7.0,369.0,1,2026,13033.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
340.0,5215.0,1,240,0,WOOL,delay,adaptive_replay,2062.0,2402.0,113.0,0,217,5555.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
34.0,5215.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,34.0,34.0,0,217,5249.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
40.0,5215.0,1,408,2,STRAWBERRY,delay,adaptive_replay,0.0,40.0,378.0,0,217,5255.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
340.0,5215.0,1,240,0,WOOL,delay,adaptive_replay,2062.0,2402.0,136.0,1,217,5555.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
34.0,5215.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,34.0,34.0,1,217,5249.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
40.0,5215.0,1,408,2,STRAWBERRY,delay,adaptive_replay,0.0,40.0,392.0,1,217,5255.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
-5036.0,10710.0,1,240,0,WOOL,delay,adaptive_replay,-4073.0,-9109.0,105.0,0,317,5674.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
50.0,10710.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,50.0,36.0,0,317,10760.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
51.0,10710.0,1,408,2,STRAWBERRY,delay,adaptive_replay,5.0,56.0,397.0,0,317,10761.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
-5036.0,10710.0,1,240,0,WOOL,delay,adaptive_replay,-4073.0,-9109.0,105.0,1,317,5674.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
50.0,10710.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,50.0,36.0,1,317,10760.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
51.0,10710.0,1,408,2,STRAWBERRY,delay,adaptive_replay,5.0,56.0,397.0,1,317,10761.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
-1922.0,7206.0,1,240,0,WOOL,delay,adaptive_replay,240.0,-1682.0,113.0,0,733,5284.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
34.0,7206.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,34.0,34.0,0,733,7240.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
40.0,7206.0,1,408,2,STRAWBERRY,delay,adaptive_replay,0.0,40.0,347.0,0,733,7246.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
-1922.0,7206.0,1,240,0,WOOL,delay,adaptive_replay,240.0,-1682.0,136.0,1,733,5284.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,168,8
34.0,7206.0,1,384,1,STRAWBERRY,delay,adaptive_replay,0.0,34.0,34.0,1,733,7240.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,336,3
40.0,7206.0,1,408,2,STRAWBERRY,delay,adaptive_replay,0.0,40.0,352.0,1,733,7246.0,3c41010de37114c082d481e4a4c3e42ca5148e826a140e2aa02964aca8636dd8,384,9
