candidate,opponent,games,mean_money,min_money,max_money,mean_margin,wins,ties,losses,win_rate,all_done,agent_errors,invalid_action_shapes,mean_fallbacks,max_fallbacks,mean_route_switches,mean_calls,p50_ms,p95_ms,p99_ms,max_ms
v008_q25,random,6,133545.33333333334,131020.0,136199.0,133525.33333333334,6,0,0,1.0,1,0,0,0,0,2,719,0.84125,1.5281924999999998,1.9424180000000053,186.1847
v008_q25,starter,6,132907.83333333334,126302.0,137121.0,129407.16666666667,6,0,0,1.0,1,0,0,0,0,2,719,0.8291999999999999,1.4683075,1.816774000000001,172.3698
v008_q50,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.9157500000000001,1.575,1.8289580000000039,2.7333
v008_q50,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.905,1.5878050000000004,1.939960000000001,2.3301
v008_q50,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.9351,1.6521300000000003,2.0720740000000086,238.5859
v008_q50,random,6,135505.33333333334,124918.0,147968.0,135505.33333333334,6,0,0,1.0,1,0,0,0,0,2,719,0.88585,1.5511975000000002,1.9477420000000012,198.9657
v008_q50,starter,6,135370.83333333334,130289.0,140394.0,131869.16666666666,6,0,0,1.0,1,0,0,0,0,2,719,0.85505,1.5765525,1.885494000000005,2.8462
v008_q75,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.919,1.6128225,1.8812420000000012,2.8767
v008_q75,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.9276500000000001,1.6468575000000003,2.0216060000000105,242.5051
v008_q75,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.90655,1.5881975000000002,1.9059020000000007,2.6635
v008_q75,random,6,182334.33333333334,172310.0,190128.0,182334.33333333334,6,0,0,1.0,1,0,0,2,2,1,719,0.9025,1.6813250000000002,2.1015600000000023,220.2588
v008_q75,starter,6,183268.66666666666,169823.0,193571.0,179767.66666666666,6,0,0,1.0,1,0,0,2,2,1,719,0.9051499999999999,1.6021825000000003,1.955220000000003,2.7656
v008_q90,builder,6,136037.83333333334,111252.0,151190.0,6436.833333333333,4,0,2,0.6666666666666666,1,0,0,2.8333333333333335,7,1,719,0.9161,1.5664475000000002,2.029432000000002,2.7616
v008_q90,frontier,6,115599.16666666667,93764.0,138354.0,204.16666666666666,3,0,3,0.5,1,0,0,2,2,1,719,0.9326,1.65087,2.010516000000001,2.6541
v008_q90,hamburger,6,114831.33333333333,93420.0,134604.0,-1849.1666666666667,1,0,5,0.16666666666666666,1,0,0,2,2,1,719,0.91415,1.5908025000000001,1.9491920000000005,3.7315
v008_q90,random,6,180836.0,168401.0,192821.0,180836.0,6,0,0,1.0,1,0,0,2,2,1,719,0.91125,1.6896475000000002,2.1422340000000055,183.6685
v008_q90,starter,6,183268.66666666666,169823.0,193571.0,179767.66666666666,6,0,0,1.0,1,0,0,2,2,1,719,0.89295,1.5819200000000002,1.8750340000000008,171.4481
