agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
0,719,v13_r3,94879.0,DONE,1,9383.0,30.470958,v022c,85496.0,DONE,0.122709,0.162292,0.300875,win,0,317
0,719,v13_r3,94882.0,DONE,1,9260.0,0.22375,v022c,85622.0,DONE,0.114209,0.146458,0.160334,win,1,317
0,719,v13_r3,103204.0,DONE,1,11549.0,0.297708,v022c,91655.0,DONE,0.123042,0.1545,0.183542,win,0,733
0,719,v13_r3,108678.0,DONE,1,11805.0,0.272208,v022c,96873.0,DONE,0.11425,0.147125,0.161542,win,1,733
0,719,v13_r3,101176.0,DONE,1,8292.0,0.406875,v022c_hybrid,92884.0,DONE,0.124125,0.157,0.18075,win,0,17
0,719,v13_r3,101176.0,DONE,1,8292.0,0.320542,v022c_hybrid,92884.0,DONE,0.115334,0.1465,0.171583,win,1,17
0,719,v13_r3,76934.0,DONE,1,10777.0,0.356292,v022c_hybrid,66157.0,DONE,0.12275,0.153083,0.1875,win,0,42
0,719,v13_r3,77016.0,DONE,1,11204.0,0.325667,v022c_hybrid,65812.0,DONE,0.115833,0.148833,0.166416,win,1,42
0,719,v13_r3,103170.0,DONE,1,10958.0,0.28225,v022c_hybrid,92212.0,DONE,0.122834,0.154125,0.205167,win,0,2026
0,719,v13_r3,103249.0,DONE,1,11440.0,0.3605,v022c_hybrid,91809.0,DONE,0.11425,0.14775,0.1665,win,1,2026
0,719,v13_r3,157237.0,DONE,1,18551.0,0.359667,v022c_hybrid,138686.0,DONE,0.123417,0.157916,0.236458,win,0,217
0,719,v13_r3,155319.0,DONE,1,18323.0,0.182625,v022c_hybrid,136996.0,DONE,0.114042,0.146625,0.160583,win,1,217
0,719,v13_r3,94879.0,DONE,1,9361.0,58.9535,v022c_hybrid,85518.0,DONE,0.125042,0.156833,0.182708,win,0,317
0,719,v13_r3,94882.0,DONE,1,9259.0,0.326709,v022c_hybrid,85623.0,DONE,0.114667,0.1465,0.166625,win,1,317
0,719,v13_r3,103204.0,DONE,1,11549.0,0.308541,v022c_hybrid,91655.0,DONE,0.122709,0.153958,0.176542,win,0,733
0,719,v13_r3,108678.0,DONE,1,11805.0,0.363,v022c_hybrid,96873.0,DONE,0.114709,0.144292,0.159958,win,1,733
