phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
calibration,macro_044_13_8_6_34_10_9,baseline,2,89622.0,83241.0,96003.0,-32726.5,0,0,2,0.0,1,0,0,4.610625,11.177583,13.063352167999255
calibration,macro_044_13_8_6_34_10_9,v012,2,79100.0,73253.0,84947.0,-68894.0,0,0,2,0.0,1,0,0,4.576833,26.78925,11.925061833004293
calibration,macro_045_13_8_6_34_10_9,baseline,2,84706.0,84615.0,84797.0,-27935.0,0,0,2,0.0,1,0,0,5.593708,7.487458,13.36896416599484
calibration,macro_045_13_8_6_34_10_9,v012,2,88962.0,83711.0,94213.0,-71288.0,0,0,2,0.0,1,0,0,5.099625,7.460333,12.04940195800009
calibration,macro_046_13_8_6_34_10_9,baseline,2,79699.5,77554.0,81845.0,-42477.5,0,0,2,0.0,1,0,0,4.4985,5.961042,13.065953249992162
calibration,macro_046_13_8_6_34_10_9,v012,2,84831.5,81922.0,87741.0,-84398.5,0,0,2,0.0,1,0,0,5.147834,7.862208,12.041399707988603
calibration,macro_047_13_8_6_34_10_9,baseline,2,77816.5,74647.0,80986.0,-40357.5,0,0,2,0.0,1,0,0,5.143125,8.024,13.508089208000456
calibration,macro_047_13_8_6_34_10_9,v012,2,71626.5,62463.0,80790.0,-81073.0,0,0,2,0.0,1,0,0,5.116292,7.162,11.889800001001277
calibration,macro_048_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.317917,117.674875,13.47310462599853
calibration,macro_048_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.589333,14.706208,12.430323833992588
calibration,macro_049_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.671291,7.257375,13.704025332997844
calibration,macro_049_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.164166,6.879125,12.248452248997637
calibration,macro_050_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.628625,8.636625,13.886178374996234
calibration,macro_050_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.97525,9.112917,12.657741082999564
calibration,macro_051_13_8_6_34_10_9,baseline,2,84429.5,78431.0,90428.0,-31941.0,0,0,2,0.0,1,0,0,6.067833,8.972583,13.793939875002252
calibration,macro_051_13_8_6_34_10_9,v012,2,85539.0,81811.0,89267.0,-78687.0,0,0,2,0.0,1,0,0,6.004542,7.3515,12.68888387500192
calibration,macro_052_13_8_6_34_10_9,baseline,2,85346.0,82022.0,88670.0,-30097.5,0,0,2,0.0,1,0,0,5.637833,16.780541,13.882571415997518
calibration,macro_052_13_8_6_34_10_9,v012,2,82780.5,80413.0,85148.0,-75945.5,0,0,2,0.0,1,0,0,5.106084,8.987333,12.718040917003236
calibration,macro_053_13_8_6_34_10_9,baseline,2,85346.0,82022.0,88670.0,-30097.5,0,0,2,0.0,1,0,0,5.190459,6.9795,14.036670458997833
calibration,macro_053_13_8_6_34_10_9,v012,2,82780.5,80413.0,85148.0,-75945.5,0,0,2,0.0,1,0,0,5.7365,18.713084,12.624364457995398
calibration,macro_054_13_8_6_34_10_9,baseline,2,80873.0,77871.0,83875.0,-35651.0,0,0,2,0.0,1,0,0,4.837917,13.676125,13.596387083998707
calibration,macro_054_13_8_6_34_10_9,v012,2,86247.5,78707.0,93788.0,-77440.5,0,0,2,0.0,1,0,0,5.234625,77.757042,12.369501875000424
calibration,macro_055_13_8_6_34_10_9,baseline,2,82227.0,79032.0,85422.0,-33628.5,0,0,2,0.0,1,0,0,5.392583,7.261084,13.801864042005036
calibration,macro_055_13_8_6_34_10_9,v012,2,84215.5,77128.0,91303.0,-79401.5,0,0,2,0.0,1,0,0,5.127875,8.440666,12.252364333995502
calibration,macro_056_13_8_6_34_10_9,baseline,2,78228.5,74319.0,82138.0,-41053.0,0,0,2,0.0,1,0,0,5.365208,8.493084,13.793064249999588
calibration,macro_056_13_8_6_34_10_9,v012,2,69529.5,65311.0,73748.0,-80228.5,0,0,2,0.0,1,0,0,4.823875,10.512125,12.51743524899939
calibration,macro_057_13_8_6_34_10_9,baseline,2,77580.0,75385.0,79775.0,-43563.5,0,0,2,0.0,1,0,0,5.05825,11.746041,13.834641792993352
