actions,agent_errors,calls,candidate,candidate_money,candidate_status,done,margin,market,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,source
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 919, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 36, 'FERTILIZE': 103}",0,719,v022c_control,138763.0,DONE,1,-26859.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.374917,fixed_replay,165622.0,DONE,0.052541,0.0825,0.21775,loss,0,163174040,90347495.json
"{'BUILD_PASTURE': 14, 'NORTH': 1018, 'WEST': 878, 'PICKUP': 261, 'PLACE': 14, 'PLANT': 135, 'WATER': 920, 'EAST': 665, 'SOUTH': 783, 'FEED': 322, 'CARE': 317, 'PASS': 442, 'COLLECT_FERTILIZER': 320, 'DROP': 100, 'HARVEST': 341, 'DIG': 35, 'FERTILIZE': 103}",0,719,v022c_control,130794.0,DONE,1,-21098.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.379625,fixed_replay,151892.0,DONE,0.051375,0.082875,0.173,loss,1,163174040,90347495.json
"{'BUILD_PASTURE': 12, 'NORTH': 500, 'WEST': 475, 'PICKUP': 134, 'PLACE': 11, 'PLANT': 83, 'WATER': 534, 'EAST': 363, 'SOUTH': 389, 'FEED': 185, 'CARE': 161, 'PASS': 262, 'COLLECT_FERTILIZER': 171, 'DROP': 56, 'HARVEST': 168, 'DIG': 12, 'FERTILIZE': 40}",0,719,v022c_control,2246.0,DONE,1,-177568.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.3145,fixed_replay,179814.0,DONE,0.046125,0.085667,0.205292,loss,0,642633246,90348230.json
"{'BUILD_PASTURE': 12, 'NORTH': 500, 'WEST': 475, 'PICKUP': 134, 'PLACE': 11, 'PLANT': 83, 'WATER': 534, 'EAST': 363, 'SOUTH': 389, 'FEED': 185, 'CARE': 161, 'PASS': 262, 'COLLECT_FERTILIZER': 171, 'DROP': 56, 'HARVEST': 168, 'DIG': 12, 'FERTILIZE': 40}",0,719,v022c_control,2246.0,DONE,1,-177519.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.320167,fixed_replay,179765.0,DONE,0.044125,0.082208,0.202375,loss,1,642633246,90348230.json
"{'BUILD_PASTURE': 12, 'NORTH': 954, 'WEST': 808, 'PICKUP': 242, 'PLACE': 12, 'PLANT': 119, 'WATER': 874, 'EAST': 621, 'SOUTH': 729, 'FEED': 306, 'CARE': 288, 'PASS': 406, 'COLLECT_FERTILIZER': 300, 'DROP': 94, 'HARVEST': 323, 'DIG': 33, 'FERTILIZE': 99}",0,719,v022c_control,7137.0,DONE,1,-161319.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.327084,fixed_replay,168456.0,DONE,0.0505,0.086958,0.096083,loss,0,558578806,90350466.json
"{'BUILD_PASTURE': 12, 'NORTH': 951, 'WEST': 805, 'PICKUP': 242, 'PLACE': 12, 'PLANT': 119, 'WATER': 873, 'EAST': 618, 'SOUTH': 725, 'FEED': 306, 'CARE': 288, 'PASS': 406, 'COLLECT_FERTILIZER': 300, 'DROP': 93, 'HARVEST': 320, 'DIG': 33, 'FERTILIZE': 99}",0,719,v022c_control,7039.0,DONE,1,-162452.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",784.749708,fixed_replay,169491.0,DONE,0.050792,0.085625,0.215792,loss,1,558578806,90350466.json
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",0,719,v022c_control,110699.0,DONE,1,-13972.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.223083,fixed_replay,124671.0,DONE,0.051375,0.079667,0.109458,loss,0,583520709,90354933.json
"{'BUILD_PASTURE': 12, 'NORTH': 918, 'WEST': 764, 'PICKUP': 230, 'PLACE': 10, 'PLANT': 128, 'WATER': 848, 'EAST': 596, 'SOUTH': 700, 'FEED': 292, 'CARE': 271, 'PASS': 407, 'COLLECT_FERTILIZER': 282, 'DROP': 90, 'HARVEST': 308, 'DIG': 33, 'FERTILIZE': 87}",0,719,v022c_control,7473.0,DONE,1,-152543.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.452542,fixed_replay,160016.0,DONE,0.05125,0.089667,0.21,loss,1,583520709,90354933.json
"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 792, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",0,719,v022c_control,97865.0,DONE,1,-16409.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.278958,fixed_replay,114274.0,DONE,0.051542,0.081083,0.148625,loss,0,1495296076,90356416.json
"{'BUILD_PASTURE': 14, 'NORTH': 1011, 'WEST': 868, 'PICKUP': 253, 'PLACE': 12, 'PLANT': 134, 'WATER': 917, 'EAST': 661, 'SOUTH': 782, 'FEED': 321, 'CARE': 314, 'PASS': 435, 'COLLECT_FERTILIZER': 318, 'DROP': 99, 'HARVEST': 341, 'DIG': 39, 'FERTILIZE': 103}",0,719,v022c_control,42499.0,DONE,1,-138433.0,"{'BUY_ANIMAL': 10, 'BUY_SEED': 62, 'BUY_PRODUCT': 163, 'HIRE': 284, 'SELL': 231, 'SELL_FERTILIZER': 236, 'SELL_WHEAT': 191, 'SELL_WOOL': 164, 'BUY_LAND': 2, 'SELL_MILK': 230, 'SELL_MELON': 132, 'SELL_STRAWBERRY': 270}",0.285167,fixed_replay,180932.0,DONE,0.051958,0.081459,0.134083,loss,1,1495296076,90356416.json
