action_BUILD_PASTURE,action_CARE,action_COLLECT_FERTILIZER,action_DIG,action_DROP,action_EAST,action_FEED,action_FERTILIZE,action_HARVEST,action_NORTH,action_PASS,action_PICKUP,action_PLACE,action_PLANT,action_SOUTH,action_WATER,action_WEST,actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed,v022e_abandoned,v022e_catchup_actions,v022e_catchup_releases,v022e_early_releases,v022e_repeat_suppressed,v022e_retry_failures,v022e_retry_success_first,v022e_retry_success_second,v022e_weed_repairs,v022e_weed_retries
14,322,324,32,100,671,323,103,341,1030,460,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 460, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,127857.0,DONE,1,0,0,3653.0,101.610125,v18,124204.0,DONE,0.054292,0.088458,0.213167,win,0,217,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,460,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 460, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,127981.0,DONE,1,0,0,4608.0,0.265917,v18,123373.0,DONE,0.051208,0.073708,0.090708,win,1,217,,,,,,,,,,
14,322,323,32,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 323, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,131489.0,DONE,1,0,0,2690.0,0.353958,v18,128799.0,DONE,0.05425,0.086125,0.23625,win,0,317,,,,,,,,,,
14,322,324,31,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_control,131573.0,DONE,1,0,0,3749.0,95.798208,v18,127824.0,DONE,0.0505,0.0755,0.099792,win,1,317,,,,,,,,,,
14,322,323,33,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 323, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",719,v022c_control,108876.0,DONE,1,0,0,1124.0,0.348833,v18,107752.0,DONE,0.054458,0.085208,0.13475,win,0,733,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,792,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 792, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,105205.0,DONE,1,0,0,1457.0,0.285833,v18,103748.0,DONE,0.050875,0.074583,0.092958,win,1,733,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,128705.0,DONE,1,0,0,5759.0,0.342375,hamburger,122946.0,DONE,0.054958,0.084708,0.220166,win,0,17,,,,,,,,,,
14,322,324,31,100,671,323,103,341,1030,461,262,14,135,793,938,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 938, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 31, 'FERTILIZE': 103}",719,v022c_control,130436.0,DONE,1,0,0,13979.0,0.3525,hamburger,116457.0,DONE,0.051333,0.088584,0.23575,win,1,17,,,,,,,,,,
14,322,324,32,100,671,323,103,341,1030,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1030, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 32, 'FERTILIZE': 103}",719,v022c_control,119435.0,DONE,1,0,0,4722.0,0.341792,hamburger,114713.0,DONE,0.0535,0.086375,0.142708,win,0,42,,,,,,,,,,
14,322,324,33,100,671,323,103,341,1029,461,262,14,135,793,937,896,"{'BUILD_PASTURE': 14, 'NORTH': 1029, 'WEST': 896, 'PICKUP': 262, 'PLACE': 14, 'PLANT': 135, 'WATER': 937, 'EAST': 671, 'SOUTH': 793, 'FEED': 323, 'CARE': 322, 'PASS': 461, 'COLLECT_FERTILIZER': 324, 'DROP': 100, 'HARVEST': 341, 'DIG': 33, 'FERTILIZE': 103}",719,v022c_control,118763.0,DONE,1,0,0,3675.0,18.751292,hamburger,115088.0,DONE,0.05225,0.082042,0.13525,win,1,42,,,,,,,,,,
